k = 2.840220-0.003609 i
Vec Object: 4 MPI processes
  type: mpi
Process [0]
-2.19678e-05 + 1.61974e-05 i
-4.99195e-05 - 1.17094e-05 i
-5.43179e-05 + 0.000140588 i
-5.89459e-05 - 1.4836e-05 i
-0.000155742 + 0.000501935 i
-4.83875e-05 + 0.000726191 i
0.000471258 + 0.000277101 i
-0.000346809 - 0.000179182 i
5.68066e-07 + 1.33586e-06 i
0.00034546 + 0.00017452 i
-0.000470189 - 0.000286111 i
5.21367e-05 - 0.000728551 i
0.000154503 - 0.000501395 i
6.10997e-05 + 1.34465e-05 i
5.30309e-05 - 0.000139466 i
5.03279e-05 + 1.06317e-05 i
2.13049e-05 - 1.59153e-05 i
1.33519e-05 + 1.35806e-05 i
5.21151e-06 - 1.84459e-06 i
3.90137e-06 + 5.45044e-06 i
1.11942e-06 + 4.42856e-07 i
1.46958e-06 + 1.33284e-06 i
1.0559e-07 + 1.13089e-06 i
8.99675e-07 - 4.74193e-07 i
-4.13031e-08 + 1.42112e-06 i
6.00602e-07 - 8.57805e-07 i
1.05839e-06 + 1.65308e-06 i
-6.85963e-08 - 8.34894e-07 i
1.33712e-12 - 4.39735e-13 i
6.08438e-13 + 2.19619e-13 i
-4.38966e-06 - 5.45525e-06 i
-4.44807e-07 - 3.04871e-06 i
1.32836e-06 - 8.37414e-06 i
-1.47895e-06 - 2.53538e-06 i
1.20161e-06 - 8.40439e-06 i
-1.6765e-06 - 6.77326e-06 i
1.27771e-07 - 1.29576e-05 i
-1.53441e-06 - 2.15291e-05 i
-2.86429e-06 - 3.157e-05 i
-2.82705e-06 - 7.1696e-05 i
-1.25912e-05 - 0.000104072 i
-1.42689e-05 - 0.000253223 i
-5.56455e-05 - 0.000381426 i
-0.000143685 - 0.000905399 i
-0.000438615 - 0.000887896 i
-0.000529336 - 0.00174703 i
-0.000646672 - 0.000308906 i
0.00149919 + 0.0055567 i
0.013631 + 0.00752314 i
-1.47186e-05 - 7.52509e-06 i
-0.0136143 - 0.00752349 i
-0.00148978 - 0.00552741 i
0.000629731 + 0.00031018 i
0.000529317 + 0.00173596 i
0.000431829 + 0.000884763 i
0.000145537 + 0.000896758 i
5.40429e-05 + 0.000381167 i
1.65624e-05 + 0.00025098 i
1.12678e-05 + 0.000104009 i
4.14389e-06 + 7.05868e-05 i
2.13551e-06 + 3.19673e-05 i
3.76479e-06 + 2.21159e-05 i
7.56295e-07 + 1.60841e-05 i
2.43745e-06 + 7.13475e-06 i
-2.89652e-06 + 7.37467e-06 i
-1.44177e-06 - 1.92952e-06 i
-2.39817e-06 + 7.04735e-06 i
-2.32003e-06 - 1.48608e-06 i
-2.67948e-07 + 5.44515e-06 i
8.17013e-13 - 9.81001e-13 i
7.17981e-13 - 8.26549e-13 i
-2.62926e-05 + 4.47594e-05 i
4.43726e-05 - 2.71848e-05 i
-5.31293e-05 - 4.95348e-05 i
4.987e-05 + 4.44074e-06 i
-4.47008e-05 - 5.82238e-05 i
3.90457e-05 - 9.008e-06 i
-2.93883e-05 - 7.49875e-05 i
1.68296e-05 - 8.36175e-05 i
8.03348e-06 - 0.000142517 i
-3.60586e-05 - 0.000327945 i
0.000101426 - 0.000406782 i
-0.000188017 - 0.00115343 i
0.000385664 - 0.00141726 i
-0.000677973 - 0.00384483 i
0.00172682 - 0.00457772 i
-0.00551282 - 0.0111875 i
0.00485173 + 0.0178137 i
0.0777371 - 0.00208338 i
-0.0330293 - 0.274304 i
4.13944e-05 + 0.000399756 i
0.0329843 + 0.274494 i
-0.0777837 + 0.00172763 i
-0.0048087 - 0.0179444 i
0.00551685 + 0.0111478 i
-0.00171731 + 0.00453294 i
0.000672169 + 0.00385957 i
-0.000383747 + 0.00139254 i
0.000192668 + 0.00115032 i
-0.000100468 + 0.000399434 i
3.34322e-05 + 0.000320861 i
-5.12351e-06 + 0.000138003 i
-1.82712e-05 + 8.45835e-05 i
2.83942e-05 + 7.21822e-05 i
-4.57712e-05 - 1.93348e-07 i
3.41526e-05 + 6.43771e-05 i
-5.83088e-05 + 5.52622e-06 i
6.59519e-05 + 6.68024e-05 i
-1.9206e-05 + 3.11524e-05 i
3.71062e-05 - 5.86323e-05 i
1.23824e-12 - 1.3402e-13 i
1.22927e-12 + 4.49944e-13 i
-2.02592e-05 - 2.565e-05 i
6.60676e-06 - 4.95934e-05 i
1.84456e-06 - 5.5906e-05 i
7.25395e-06 - 3.7591e-05 i
1.73827e-06 - 6.36611e-05 i
6.80116e-06 - 6.34448e-05 i
5.41821e-06 - 0.000117504 i
1.24657e-05 - 0.000171743 i
1.82868e-05 - 0.000310605 i
3.41088e-05 - 0.00055664 i
6.24641e-05 - 0.00101045 i
0.000109602 - 0.00195963 i
0.000212659 - 0.00354321 i
0.000258958 - 0.00680078 i
0.000482653 - 0.0101572 i
0.0022093 - 0.0175285 i
0.00163741 - 0.0158785 i
0.00578901 + 0.00896228 i
0.002956 + 0.00144401 i
3.5333e-05 + 4.32801e-05 i
-0.00301032 - 0.0013276 i
-0.00568125 - 0.00918831 i
-0.00156644 + 0.0159556 i
-0.00231052 + 0.0175997 i
-0.000492917 + 0.0100463 i
-0.000266808 + 0.00682898 i
-0.000208589 + 0.00350786 i
-0.000114211 + 0.00197218 i
-6.05689e-05 + 0.000985473 i
-3.57101e-05 + 0.000567059 i
-1.56895e-05 + 0.00029786 i
-1.49354e-05 + 0.000176915 i
-4.00399e-06 + 0.00010422 i
-8.16537e-06 + 6.68805e-05 i
-1.2957e-06 + 6.051e-05 i
-9.74669e-06 + 6.05072e-05 i
-4.86164e-06 + 5.95133e-05 i
-3.43586e-08 + 6.61603e-05 i
1.93264e-05 + 2.97217e-05 i
9.01018e-13 - 3.94786e-13 i
1.0952e-12 - 1.63918e-13 i
-2.17664e-05 - 4.15407e-05 i
5.21048e-06 - 7.71846e-05 i
1.03395e-05 - 6.37119e-05 i
7.79018e-06 - 6.55325e-05 i
8.53071e-06 - 7.36207e-05 i
1.00819e-05 - 9.92925e-05 i
1.50475e-05 - 0.000148448 i
2.38669e-05 - 0.000237232 i
4.02685e-05 - 0.000411209 i
7.20784e-05 - 0.000711218 i
0.000127555 - 0.00131353 i
0.000241432 - 0.00234272 i
0.000411943 - 0.00429589 i
0.000850976 - 0.00713633 i
0.000724718 - 0.0120804 i
-0.00118941 - 0.00718999 i
0.000800358 + 0.00287315 i
-0.0032224 + 0.0101009 i
-0.0026029 + 0.00949568 i
1.38506e-06 + 5.3814e-06 i
0.00258475 - 0.00947679 i
0.00324374 - 0.0101265 i
-0.000826275 - 0.00278876 i
0.0011122 + 0.00720473 i
-0.00071157 + 0.012032 i
-0.000850459 + 0.00716325 i
-0.000409156 + 0.00429157 i
-0.000241625 + 0.00234925 i
-0.000125336 + 0.00130603 i
-7.3422e-05 + 0.00071615 i
-3.87266e-05 + 0.000411178 i
-2.47202e-05 + 0.000239236 i
-1.47643e-05 + 0.000145956 i
-1.07776e-05 + 0.000105425 i
-8.4465e-06 + 7.34271e-05 i
-7.79283e-06 + 6.76179e-05 i
-1.0719e-05 + 5.76142e-05 i
-6.61807e-07 + 6.7437e-05 i
1.88306e-05 + 3.12751e-05 i
7.13659e-13 - 1.55801e-15 i
5.32686e-13 - 7.34877e-13 i
-2.06788e-05 - 6.85381e-05 i
4.06478e-06 - 0.000113816 i
1.72508e-05 - 9.2718e-05 i
9.99372e-06 - 9.75442e-05 i
1.34305e-05 - 0.000105794 i
1.32999e-05 - 0.000147404 i
2.3479e-05 - 0.000215256 i
3.12611e-05 - 0.000354076 i
6.30744e-05 - 0.000600195 i
9.5208e-05 - 0.00106288 i
0.000201606 - 0.00192386 i
0.000311468 - 0.00345877 i
0.000672319 - 0.00610657 i
0.000689976 - 0.00962652 i
0.00340239 - 0.0103137 i
0.00992172 - 0.0159035 i
-0.000332053 + 0.00735854 i
-0.00200888 + 0.0153139 i
-0.00127462 + 0.00840932 i
1.15031e-05 + 8.42913e-06 i
0.00126741 - 0.00837081 i
0.00203433 - 0.0152928 i
0.000320688 - 0.00737547 i
-0.00988142 + 0.0158201 i
-0.00337701 + 0.0102968 i
-0.00070707 + 0.00962013 i
-0.000671007 + 0.00609513 i
-0.000317763 + 0.00345587 i
-0.000199571 + 0.00192033 i
-9.89559e-05 + 0.00105985 i
-6.04873e-05 + 0.000595141 i
-3.28834e-05 + 0.000351555 i
-2.27353e-05 + 0.000212765 i
-1.54666e-05 + 0.000152511 i
-1.23119e-05 + 0.000100165 i
-1.07237e-05 + 9.59506e-05 i
-1.94565e-05 + 8.97669e-05 i
-4.26495e-06 + 0.000127433 i
2.62016e-05 + 7.70484e-05 i
9.77911e-14 + 5.7507e-15 i
3.00968e-13 - 1.40362e-13 i
-1.02665e-08 - 3.13869e-09 i
-6.01262e-09 + 1.67007e-09 i
-5.67062e-09 - 1.94198e-08 i
-8.23143e-09 + 6.9198e-09 i
-4.30743e-09 - 2.42824e-08 i
-1.35655e-08 + 4.46753e-09 i
-8.00735e-09 - 3.15055e-08 i
-3.05654e-08 - 1.95172e-09 i
-3.06614e-08 - 5.73523e-08 i
-7.55878e-08 - 2.62656e-08 i
-9.85084e-08 - 1.536e-07 i
-2.3118e-07 - 1.66643e-07 i
-4.15686e-07 - 5.01451e-07 i
-1.14091e-06 - 7.34554e-07 i
-3.35806e-06 - 8.00919e-08 i
-3.8366e-06 + 6.36516e-06 i
-3.26517e-06 + 1.04269e-05 i
4.6466e-07 + 7.26072e-06 i
1.30464e-06 + 3.8041e-06 i
1.79826e-06 + 2.06624e-06 i
Process [2]
2.54223e-06 + 2.03049e-06 i
3.14257e-06 + 4.60486e-06 i
-2.30057e-06 + 8.76695e-06 i
-6.11307e-06 + 3.77031e-06 i
-3.48798e-06 + 2.63916e-06 i
-2.10079e-06 + 1.6612e-06 i
-1.04107e-06 + 7.28613e-07 i
-6.33812e-07 + 4.53184e-07 i
-3.2383e-07 + 1.9992e-07 i
-1.87818e-07 + 7.27314e-08 i
-7.95159e-08 - 1.17085e-08 i
-6.75742e-08 + 5.39063e-08 i
-3.27469e-08 + 7.96522e-08 i
-4.76986e-08 + 1.59176e-07 i
-2.21887e-08 + 1.29613e-07 i
-3.44943e-08 + 1.55969e-07 i
-2.46275e-08 + 1.43266e-07 i
-2.23638e-08 + 1.75406e-07 i
1.3763e-08 + 7.80809e-08 i
9.65044e-13 - 7.57735e-13 i
1.18887e-12 + 2.90806e-13 i
2.07433e-05 + 6.84273e-05 i
-4.57944e-06 + 0.000113908 i
-1.69245e-05 + 9.28673e-05 i
-1.05017e-05 + 9.72879e-05 i
-1.30381e-05 + 0.000105711 i
-1.38661e-05 + 0.000147308 i
-2.3123e-05 + 0.000216027 i
-3.25989e-05 + 0.000353822 i
-6.30148e-05 + 0.000601796 i
-9.7684e-05 + 0.00106372 i
-0.000202804 + 0.00192551 i
-0.000317933 + 0.00346078 i
-0.000678089 + 0.00610468 i
-0.000706332 + 0.0096271 i
-0.00340727 + 0.0103171 i
-0.00990867 + 0.0158796 i
0.000346151 - 0.00738734 i
0.00203012 - 0.0153187 i
0.0012828 - 0.0084133 i
2.1508e-06 - 7.83475e-06 i
-0.00125468 + 0.00836795 i
-0.0020111 + 0.0152725 i
-0.000310009 + 0.00733688 i
0.00988825 - 0.0158431 i
0.003371 - 0.0102887 i
0.000694193 - 0.0096113 i
0.000665515 - 0.00608761 i
0.000314708 - 0.00345515 i
0.00019638 - 0.00191782 i
9.68831e-05 - 0.00105855 i
6.06528e-05 - 0.000599173 i
3.29553e-05 - 0.000355894 i
2.32484e-05 - 0.000217716 i
1.47634e-05 - 0.000150569 i
1.15017e-05 - 9.71508e-05 i
1.14664e-05 - 9.43422e-05 i
1.80899e-05 - 8.8859e-05 i
5.61446e-06 - 0.000116954 i
-2.92472e-05 - 7.24764e-05 i
5.95432e-13 - 7.61632e-13 i
1.53753e-13 - 1.40759e-13 i
2.12531e-05 + 4.06029e-05 i
-6.10367e-06 + 7.80717e-05 i
-8.95861e-06 + 6.24849e-05 i
-9.46104e-06 + 6.65387e-05 i
-6.69213e-06 + 7.2703e-05 i
-1.22146e-05 + 0.000100117 i
-1.26804e-05 + 0.000148096 i
-2.66556e-05 + 0.000238322 i
-3.73102e-05 + 0.00040971 i
-7.60607e-05 + 0.000714204 i
-0.000123453 + 0.0013124 i
-0.000248384 + 0.00234783 i
-0.000405092 + 0.00429659 i
-0.000865302 + 0.00715244 i
-0.000691395 + 0.0120703 i
0.00116012 + 0.00717544 i
-0.000855539 - 0.00282544 i
0.00325431 - 0.0100898 i
0.00258558 - 0.00950222 i
1.74855e-05 - 8.68106e-06 i
-0.00260124 + 0.00946674 i
-0.00321367 + 0.0101347 i
0.000773574 + 0.00283384 i
-0.0011388 - 0.00721044 i
0.000749579 - 0.0120257 i
0.000840505 - 0.00714117 i
0.000417666 - 0.00428952 i
0.00023795 - 0.00234717 i
0.000130129 - 0.00130655 i
6.97887e-05 - 0.00071527 i
4.15875e-05 - 0.000406257 i
2.08803e-05 - 0.000236178 i
1.62756e-05 - 0.000142828 i
9.13718e-06 - 0.000101069 i
1.14914e-05 - 7.26647e-05 i
7.51696e-06 - 7.11699e-05 i
1.23659e-05 - 6.13557e-05 i
2.15376e-07 - 7.92152e-05 i
-2.27997e-05 - 4.35035e-05 i
5.64586e-13 + 1.97403e-13 i
1.45081e-12 - 4.89059e-13 i
1.81879e-05 + 2.53582e-05 i
-6.09357e-06 + 5.26306e-05 i
-1.80793e-06 + 5.20898e-05 i
-7.93222e-06 + 4.15318e-05 i
-1.00108e-06 + 5.87745e-05 i
-8.07001e-06 + 6.80647e-05 i
-4.01101e-06 + 0.00011146 i
-1.41251e-05 + 0.000178327 i
-1.63714e-05 + 0.000302828 i
-3.67317e-05 + 0.000565172 i
-6.05368e-05 + 0.00100017 i
-0.000114185 + 0.00197475 i
-0.000211755 + 0.00352595 i
-0.000271039 + 0.00682914 i
-0.00049533 + 0.010113 i
-0.00230408 + 0.0176374 i
-0.00160939 + 0.0159495 i
-0.00571285 - 0.00918976 i
-0.00296932 - 0.00146173 i
3.4326e-05 - 2.56627e-05 i
0.00297061 + 0.00133595 i
0.00573593 + 0.00897042 i
0.00159865 - 0.0158477 i
0.00222419 - 0.0174863 i
0.000481816 - 0.0100937 i
0.000258539 - 0.00678695 i
0.000214413 - 0.00352494 i
0.000110521 - 0.00195516 i
6.07298e-05 - 0.000995378 i
3.49019e-05 - 0.000556807 i
1.81806e-05 - 0.000308046 i
1.22789e-05 - 0.00017542 i
6.33272e-06 - 0.000122205 i
7.85299e-06 - 6.53493e-05 i
-6.08206e-07 - 6.02828e-05 i
6.61241e-06 - 4.49289e-05 i
1.66902e-07 - 5.22364e-05 i
1.0244e-05 - 3.74983e-05 i
-9.01433e-06 - 1.69481e-05 i
8.56185e-13 - 4.70006e-13 i
9.37555e-13 - 6.166e-13 i
2.48736e-05 - 4.4704e-05 i
-4.45517e-05 + 3.07742e-05 i
5.37055e-05 + 4.7483e-05 i
-5.11933e-05 - 7.30973e-07 i
4.64214e-05 + 5.5321e-05 i
-4.04772e-05 + 1.22051e-05 i
3.06042e-05 + 7.35651e-05 i
-1.99726e-05 + 8.60695e-05 i
-3.70722e-06 + 0.000135549 i
3.28617e-05 + 0.000331893 i
-9.68848e-05 + 0.000399828 i
0.000182477 + 0.00116058 i
-0.000382614 + 0.00140474 i
0.000670321 + 0.00385912 i
-0.00171787 + 0.00454232 i
0.00551277 + 0.0112021 i
-0.00471419 - 0.0180555 i
-0.0779352 + 0.00168325 i
0.0327562 + 0.27452 i
0.000490214 + 0.000279083 i
-0.0329941 - 0.274162 i
0.0774883 - 0.00211137 i
0.00491044 + 0.0177206 i
-0.00550154 - 0.0111401 i
0.00173802 - 0.00456991 i
-0.000677705 - 0.00383032 i
0.000390499 - 0.00140877 i
-0.000193299 - 0.00115077 i
9.70143e-05 - 0.000394506 i
-4.06887e-05 - 0.000301896 i
9.42736e-06 - 0.000152602 i
1.15653e-05 - 7.01866e-05 i
-2.71768e-05 - 6.44947e-05 i
3.80783e-05 - 7.61713e-06 i
-3.782e-05 - 6.27888e-05 i
5.31515e-05 - 8.22732e-06 i
-3.91595e-05 - 4.28531e-05 i
3.37194e-05 - 8.31875e-05 i
-5.41603e-05 + 5.78985e-06 i
3.98639e-13 - 2.28156e-13 i
1.22408e-12 - 2.67666e-13 i
4.18449e-06 + 5.48374e-06 i
5.15044e-07 + 3.34144e-06 i
-1.40342e-06 + 8.05755e-06 i
1.49335e-06 + 3.00675e-06 i
-1.2442e-06 + 7.97672e-06 i
1.60086e-06 + 7.2047e-06 i
-5.88331e-09 + 1.25251e-05 i
1.53157e-06 + 2.20187e-05 i
3.13902e-06 + 3.11314e-05 i
2.44465e-06 + 7.1958e-05 i
1.31827e-05 + 0.000103171 i
1.42341e-05 + 0.000253678 i
5.56429e-05 + 0.000379662 i
0.000143843 + 0.000904194 i
0.000438663 + 0.000883953 i
0.00052982 + 0.00174324 i
0.000638879 + 0.000320329 i
-0.00149081 - 0.00551619 i
-0.013618 - 0.0074977 i
-2.1187e-05 - 1.31431e-05 i
0.013613 + 0.00753025 i
0.00150885 + 0.00555839 i
-0.000635819 - 0.000299948 i
-0.000531448 - 0.00173716 i
-0.000433635 - 0.000889208 i
-0.000144763 - 0.000897432 i
-5.21363e-05 - 0.000380984 i
-1.53025e-05 - 0.000249052 i
-1.16195e-05 - 0.000105005 i
-3.76574e-06 - 6.99128e-05 i
-6.16265e-07 - 3.12945e-05 i
-2.70129e-06 - 2.05994e-05 i
-4.01331e-07 - 1.52049e-05 i
-2.47308e-06 - 5.54576e-06 i
3.22035e-06 - 7.89961e-06 i
-1.5771e-06 - 1.75024e-06 i
2.76233e-07 - 1.0982e-05 i
2.82737e-07 - 4.02672e-06 i
-4.32774e-06 - 7.95412e-06 i
1.33516e-12 - 3.10143e-13 i
6.27124e-13 + 3.01212e-13 i
-1.15442e-07 - 5.17347e-07 i
9.03669e-07 + 1.48528e-06 i
4.01845e-07 - 6.32598e-07 i
4.62069e-07 + 1.44362e-06 i
5.90353e-07 - 9.23795e-08 i
6.01925e-07 + 1.00866e-06 i
1.1785e-06 + 1.58857e-06 i
1.68809e-06 + 1.75027e-07 i
3.48043e-06 + 5.6465e-06 i
5.84148e-06 - 2.10992e-06 i
1.28933e-05 + 1.38943e-05 i
2.22337e-05 - 1.63409e-05 i
5.00842e-05 + 1.14726e-05 i
5.50749e-05 - 0.00014063 i
6.04649e-05 + 1.38896e-05 i
0.000158741 - 0.000502939 i
5.36735e-05 - 0.000733169 i
-0.000468422 - 0.00028967 i
0.000344906 + 0.000170529 i
-1.3759e-06 - 2.82394e-06 i
-0.000347618 - 0.000180569 i
0.000470639 + 0.000273456 i
-4.63372e-05 + 0.000721848 i
-0.000151026 + 0.00050005 i
-5.92643e-05 - 1.39796e-05 i
-5.25013e-05 + 0.00013954 i
-5.04374e-05 - 1.11555e-05 i
-2.1139e-05 + 1.56107e-05 i
-1.35028e-05 - 1.33877e-05 i
-5.06657e-06 + 1.89936e-06 i
-3.95728e-06 - 5.47887e-06 i
-1.16164e-06 - 4.56383e-07 i
-1.58611e-06 - 1.32182e-06 i
-1.58828e-07 - 1.31142e-06 i
-9.95396e-07 + 3.36704e-07 i
-1.6516e-07 - 1.5965e-06 i
-6.60022e-07 + 1.17393e-06 i
-5.56379e-07 - 1.34677e-06 i
5.10013e-07 + 6.96956e-07 i
1.38827e-12 - 1.68798e-13 i
4.18627e-13 - 3.29225e-13 i
3.23437e-08 + 3.70463e-07 i
-3.44097e-07 - 5.65166e-07 i
-1.18921e-07 + 3.53334e-07 i
-1.7051e-07 - 4.4179e-07 i
-1.73245e-07 - 7.85805e-08 i
-2.00192e-07 + 4.92908e-08 i
-4.07934e-07 - 1.17892e-06 i
-5.74273e-07 + 1.09689e-06 i
-1.45162e-06 - 3.59859e-06 i
-2.41591e-06 + 3.67655e-06 i
-6.52436e-06 - 8.08696e-06 i
-1.21351e-05 + 1.48844e-05 i
-3.20685e-05 - 3.86424e-06 i
-4.74356e-05 + 9.97944e-05 i
-8.46234e-05 + 3.5902e-05 i
-0.000195677 + 0.000452564 i
-4.03976e-05 + 0.000660492 i
0.000384349 + 0.00044549 i
0.000220525 + 4.08493e-05 i
1.0878e-06 + 2.2076e-06 i
-0.000217537 - 3.4128e-05 i
-0.000385361 - 0.000434921 i
3.61628e-05 - 0.000652582 i
0.000190466 - 0.000449378 i
8.33847e-05 - 3.57005e-05 i
4.58146e-05 - 9.89763e-05 i
3.23117e-05 + 3.61082e-06 i
1.13737e-05 - 1.44125e-05 i
6.86802e-06 + 7.69717e-06 i
1.9228e-06 - 3.51346e-06 i
1.84495e-06 + 3.46681e-06 i
2.62957e-07 - 9.476e-07 i
7.82651e-07 + 9.2384e-07 i
-1.07324e-07 + 1.77843e-07 i
4.69417e-07 - 1.51381e-07 i
-1.30902e-07 + 5.64025e-07 i
2.52914e-07 - 5.12944e-07 i
1.26597e-07 + 1.00674e-06 i
-3.96457e-08 - 4.5591e-07 i
2.40228e-13 - 3.19058e-13 i
5.50048e-13 + 9.72405e-14 i
1.58982e-07 - 2.39527e-07 i
1.48401e-07 + 1.87545e-07 i
8.59354e-08 + 7.40844e-08 i
1.15191e-07 - 1.3162e-08 i
6.59376e-08 + 4.70802e-07 i
1.56915e-07 - 4.2424e-07 i
1.92558e-07 + 1.3807e-06 i
3.98498e-07 - 1.17742e-06 i
8.92312e-07 + 3.37621e-06 i
1.6902e-06 - 2.65753e-06 i
4.5987e-06 + 7.44809e-06 i
9.54484e-06 - 8.32605e-06 i
2.59549e-05 + 7.46969e-06 i
4.87552e-05 - 6.03007e-05 i
0.000106428 - 4.52172e-05 i
0.000211935 - 0.000410702 i
2.82454e-05 - 0.000579362 i
-0.000343422 - 0.000433319 i
-0.000313935 - 5.52094e-05 i
-8.4558e-07 - 1.71304e-06 i
0.0003116 + 5.02313e-05 i
0.000344307 + 0.000425513 i
-2.51127e-05 + 0.000573257 i
-0.000207426 + 0.000407645 i
-0.000105014 + 4.49985e-05 i
-4.73919e-05 + 5.9756e-05 i
-2.61029e-05 - 7.20668e-06 i
-8.96911e-06 + 7.98776e-06 i
-4.93513e-06 - 7.1071e-06 i
-1.26252e-06 + 2.50741e-06 i
-1.25652e-06 - 3.25853e-06 i
-6.20993e-08 + 1.00256e-06 i
-4.6192e-07 - 1.16719e-06 i
1.75061e-07 + 1.77985e-07 i
-3.50564e-07 - 3.29611e-07 i
8.66062e-08 - 1.99093e-07 i
-2.52941e-07 + 7.63583e-08 i
-4.33319e-09 - 3.8529e-07 i
-6.26553e-08 + 3.74777e-07 i
5.36853e-13 + 9.91766e-14 i
9.97787e-13 - 8.16371e-14 i
-3.05748e-07 + 1.59103e-07 i
-1.49866e-08 + 1.30675e-07 i
-6.10736e-08 - 4.05487e-07 i
-9.15566e-08 + 3.8318e-07 i
1.13871e-08 - 7.57193e-07 i
-1.55884e-07 + 7.2419e-07 i
-5.10193e-08 - 1.49109e-06 i
-3.09464e-07 + 1.2649e-06 i
-5.32371e-07 - 3.07009e-06 i
-1.24234e-06 + 2.03855e-06 i
-3.3068e-06 - 6.52018e-06 i
-7.6269e-06 + 4.29126e-06 i
-2.13067e-05 - 8.85422e-06 i
-4.68599e-05 + 3.49598e-05 i
-0.000116092 + 4.84266e-05 i
-0.000213207 + 0.000381516 i
-1.97562e-05 + 0.00051757 i
0.000312529 + 0.000402061 i
0.000323615 + 4.69524e-05 i
6.91014e-07 + 1.40094e-06 i
-0.000321648 - 4.30089e-05 i
-0.000313235 - 0.000395804 i
1.73177e-05 - 0.000512498 i
0.000209141 - 0.000378695 i
0.00011471 - 4.82496e-05 i
4.56823e-05 - 3.46054e-05 i
2.1377e-05 + 8.64343e-06 i
7.10909e-06 - 3.97885e-06 i
3.67635e-06 + 6.21719e-06 i
8.80077e-07 - 1.88415e-06 i
8.18335e-07 + 2.94407e-06 i
-2.15372e-08 - 1.11665e-06 i
2.79445e-07 + 1.29457e-06 i
-8.33485e-08 - 4.79692e-07 i
2.30217e-07 + 6.32395e-07 i
-1.15036e-07 - 2.31907e-07 i
2.3125e-07 + 2.36972e-07 i
-4.62594e-08 + 6.88628e-08 i
1.48793e-07 - 2.75058e-07 i
6.57307e-13 + 5.16048e-14 i
8.00474e-13 - 1.0109e-12 i
4.38469e-07 - 1.04151e-07 i
-7.75736e-08 - 3.9742e-07 i
5.76951e-08 + 6.79081e-07 i
8.39787e-08 - 6.88811e-07 i
-6.76629e-08 + 9.86843e-07 i
1.61513e-07 - 9.63072e-07 i
-3.71866e-08 + 1.55627e-06 i
2.63843e-07 - 1.31879e-06 i
3.19908e-07 + 2.75205e-06 i
9.44602e-07 - 1.59003e-06 i
2.47688e-06 + 5.61425e-06 i
6.18482e-06 - 1.59842e-06 i
1.78872e-05 + 9.26679e-06 i
4.39874e-05 - 1.81612e-05 i
0.000119648 - 4.8362e-05 i
0.000209157 - 0.000358127 i
1.4403e-05 - 0.000470274 i
-0.000288001 - 0.000371889 i
-0.0003138 - 3.77047e-05 i
-6.02563e-07 - 1.16395e-06 i
0.000312126 + 3.44101e-05 i
0.000288571 + 0.000366628 i
-1.2345e-05 + 0.000465886 i
-0.000205512 + 0.00035551 i
-0.000118287 + 4.8224e-05 i
-4.29713e-05 + 1.79161e-05 i
-1.7955e-05 - 9.06004e-06 i
-5.73213e-06 + 1.34889e-06 i
-2.7423e-06 - 5.35218e-06 i
-6.21713e-07 + 1.45058e-06 i
-5.98235e-07 - 2.62647e-06 i
2.31245e-08 + 1.16645e-06 i
-2.18223e-07 - 1.38651e-06 i
9.51244e-08 + 7.21729e-07 i
-1.55515e-07 - 8.91965e-07 i
1.11966e-07 + 4.80895e-07 i
-2.28764e-07 - 4.55423e-07 i
1.81038e-07 + 1.99078e-07 i
-3.76205e-07 + 1.46051e-07 i
4.30264e-13 - 1.71574e-13 i
1.43329e-13 - 1.74009e-13 i
-5.58546e-07 + 5.58773e-08 i
1.49934e-07 + 6.28776e-07 i
-4.39664e-08 - 9.225e-07 i
-9.43349e-08 + 9.46893e-07 i
1.15225e-07 - 1.17107e-06 i
-1.85376e-07 + 1.14789e-06 i
1.02647e-07 - 1.58192e-06 i
-2.50604e-07 + 1.34649e-06 i
-1.77283e-07 - 2.44794e-06 i
-7.48855e-07 + 1.23851e-06 i
-1.90002e-06 - 4.79392e-06 i
-5.10661e-06 - 2.17508e-07 i
-1.53117e-05 - 9.25389e-06 i
-4.10199e-05 + 6.79073e-06 i
-0.000119999 + 4.6832e-05 i
-0.000203309 + 0.000338523 i
-1.10039e-05 + 0.000433547 i
0.000268278 + 0.000346034 i
0.000299884 + 3.02793e-05 i
5.23654e-07 + 1.01343e-06 i
-0.000298395 - 2.74126e-05 i
-0.000268738 - 0.00034147 i
9.22403e-06 - 0.000429665 i
0.000199948 - 0.000336095 i
0.000118677 - 4.67138e-05 i
4.00913e-05 - 6.64393e-06 i
1.53733e-05 + 9.07499e-06 i
4.72102e-06 + 4.13416e-07 i
2.15469e-06 + 4.55075e-06 i
4.39081e-07 - 1.09555e-06 i
4.21863e-07 + 2.32487e-06 i
3.46079e-09 - 1.21768e-06 i
1.30086e-07 + 1.46687e-06 i
-6.46905e-08 - 9.11426e-07 i
1.15921e-07 + 1.05263e-06 i
-9.83943e-08 - 7.15111e-07 i
2.01148e-07 + 7.86588e-07 i
-2.60907e-07 - 3.58382e-07 i
4.73972e-07 - 1.81175e-07 i
9.21734e-13 - 1.1165e-15 i
8.65707e-13 - 2.5763e-13 i
6.72428e-07 - 1.546e-08 i
-2.07215e-07 - 8.3661e-07 i
3.4339e-08 + 1.13966e-06 i
1.10857e-07 - 1.16895e-06 i
-1.53925e-07 + 1.32622e-06 i
