k = 2.840220-0.003609 i
Vec Object: 4 MPI processes
  type: mpi
Process [0]
7.53676e-06 + 0.000127132 i
-1.91124e-09 + 5.69504e-08 i
-7.74663e-06 - 0.000126848 i
0.000125469 - 8.81972e-05 i
0.000129169 + 1.77107e-05 i
0.000105602 + 9.84633e-05 i
-2.41269e-05 + 3.89433e-05 i
-2.18321e-05 + 1.69693e-06 i
-7.3978e-06 - 2.13148e-06 i
-3.22499e-06 - 5.72833e-07 i
-1.38957e-06 - 1.17803e-06 i
-3.4418e-07 + 3.88364e-07 i
-6.61444e-07 - 7.98132e-07 i
3.1017e-07 + 5.72943e-07 i
-5.93786e-07 - 6.50651e-07 i
2.54934e-07 + 5.49858e-07 i
-7.31815e-07 - 5.56211e-07 i
3.79448e-07 + 3.30871e-07 i
-6.34163e-07 - 6.98228e-07 i
-1.44534e-07 - 9.90401e-08 i
-8.67721e-07 + 4.30853e-07 i
2.46261e-13 + 1.6094e-14 i
7.40997e-14 - 4.54218e-14 i
-2.64041e-07 + 4.01573e-07 i
5.72925e-07 + 1.36998e-07 i
-7.23559e-07 - 4.3297e-07 i
5.72353e-07 + 4.92365e-07 i
-6.80473e-07 - 6.38674e-07 i
4.3417e-07 + 6.34474e-07 i
-6.7433e-07 - 7.85781e-07 i
1.72269e-07 + 6.49719e-07 i
-7.7165e-07 - 9.60066e-07 i
-5.95288e-07 + 4.58806e-07 i
-1.88767e-06 - 1.45053e-06 i
-4.20239e-06 - 4.6301e-07 i
-9.11838e-06 - 2.11812e-06 i
-2.50904e-05 + 3.43709e-06 i
-2.49479e-05 + 4.52007e-05 i
0.00011682 + 0.00010958 i
0.000147504 + 2.06149e-05 i
0.000142664 - 9.79504e-05 i
-1.71029e-06 - 0.000141841 i
1.70343e-08 - 6.57211e-08 i
1.97486e-06 + 0.000141524 i
-0.000142016 + 9.80266e-05 i
-0.000146826 - 2.02667e-05 i
-0.000116258 - 0.000108478 i
2.46632e-05 - 4.47886e-05 i
2.49499e-05 - 3.32133e-06 i
9.1327e-06 + 2.13787e-06 i
4.2555e-06 + 5.61758e-07 i
